법정동코드,주소,새주소-도로명,유무료,경도,위도,법정동명
10100,서울특별시 광진구 중곡동 599-6,용마산로34길,유료,127.088248,37.570184,중곡동
10100,서울특별시 광진구 중곡동 176-110,용마산로30길,유료,127.089369,37.568217,중곡동
10100,서울특별시 광진구 중곡동 72-61 긴고랑길공동주차장,긴고랑로45길,유료,127.095161,37.560814,중곡동
10100,서울특별시 광진구 중곡동 221-6,긴고랑로11길,유료,127.081991,37.563872,중곡동
10100,서울특별시 광진구 중곡동 626-11,긴고랑로8길,유료,127.076984,37.559764,중곡동
10100,서울특별시 광진구 중곡동 168-8 중곡문화체육센터,능동로,유료,127.08502,37.568026,중곡동
10100,서울특별시 광진구 중곡동 115-4,천호대로,유료,127.089477,37.553072,중곡동
10100,서울특별시 광진구 중곡동 125-5 국민은행중곡동지점,용마산로,유료,127.087328,37.559311,중곡동
10100,서울특별시 광진구 중곡동 637-8,도로명주소없음,무료,127.076261,37.558722,중곡동
10100,서울특별시 광진구 중곡동 235-18,긴고랑로1길,유료,127.077659,37.564978,중곡동
10200,서울특별시 광진구 능동 205 능동공영주차장,천호대로112길,유료,127.080258,37.554039,능동
10200,서울특별시 광진구 능동 377,능동로30길,유료,127.079597,37.55322,능동
10200,서울특별시 광진구 능동 247-3,천호대로,유료,127.086139,37.5542,능동
10200,서울특별시 광진구 능동 197-5,능동로24길,유료,127.080552,37.553303,능동
10300,서울특별시 광진구 구의동 6,도로명주소없음,유료,127.097339,37.55331,구의동
10300,서울특별시 광진구 구의동 598-1,구의강변로,유료,127.091341,37.533502,구의동
10300,서울특별시 광진구 구의동 243-78,자양로18길,유료,127.087892,37.538282,구의동
10300,서울특별시 광진구 구의동 230-7,자양로32길,유료,127.089037,37.544191,구의동
10300,서울특별시 광진구 구의동 72-8,천호대로136길,유료,127.09032,37.547887,구의동
10300,서울특별시 광진구 구의동 219-15 주차장,광나루로52길,유료,127.09139,37.539123,구의동
10300,서울특별시 광진구 구의동 252-109,자양로,유료,127.083728,37.538682,구의동
10300,서울특별시 광진구 구의동 30-9 구의2동 주택가 공동주차장,자양로,유료,127.092849,37.552971,구의동
10300,서울특별시 광진구 구의동 254-77,자양로25길,유료,127.083069,37.541522,구의동
10300,서울특별시 광진구 구의동 617-33 구의2동제2경로당,자양로37길,유료,127.085878,37.54749,구의동
10300,서울특별시 광진구 구의동 54-19,자양로43길,유료,127.090741,37.551173,구의동
10400,서울특별시 광진구 광장동 275-5,광장로7길 ,유료,127.105434,37.54862,광장동
10400,서울특별시 광진구 광장동 394-43,광장로,유료,127.101627,37.546419,광장동
10500,서울특별시 광진구 자양동 594,뚝섬로52길,유료,127.077664,37.529691,자양동
10500,서울특별시 광진구 자양동 5-5,동일로18길,유료,127.068253,37.538677,자양동
10500,서울특별시 광진구 자양동 680-29,뚝섬로,유료,127.086056,37.532908,자양동
10500,서울특별시 광진구 자양동 690-33 대승유료주차장,자양로2길,무료,127.087491,37.530436,자양동
10500,서울특별시 광진구 자양동 218-13,아차산로46길,유료,127.081048,37.536417,자양동
10500,서울특별시 광진구 자양동 631-18 자양전통시장 공영주차장,자양로13길,유료,127.081634,37.533763,자양동
10500,서울특별시 광진구 자양동 235-3 주차장,동일로4길,유료,127.061215,37.536557,자양동
10500,서울특별시 광진구 자양동 97-5,강변북로,유료,127.065129,37.531392,자양동
10500,서울특별시 광진구 자양동 435,도로명주소없음,유료,127.073786,37.527838,자양동
10500,서울특별시 광진구 자양동 199-6,뚝섬로22가길,유료,127.06217,37.535457,자양동
10500,서울특별시 광진구 자양동 10-2,아차산로28길,유료,127.066369,37.539942,자양동
10500,서울특별시 광진구 자양동 621-26,뚝섬로49길,유료,127.080517,37.53496,자양동
10500,서울특별시 광진구 자양동 613-29,뚝섬로45길,유료,127.078393,37.534097,자양동
10500,서울특별시 광진구 자양동 602 자양종합시장,자양번영로6길,유료,127.076106,37.531982,자양동
10500,서울특별시 광진구 자양동 97-5,강변북로,유료,127.066866,37.53082,자양동
10500,서울특별시 광진구 자양동 219-30,아차산로46가길,유료,127.082695,37.536474,자양동
10500,서울특별시 광진구 자양동 216-15,아차산로,유료,127.086519,37.536965,자양동
10500,서울특별시 광진구 자양동 7-6,아차산로,유료,127.069052,37.540292,자양동
10500,서울특별시 광진구 자양동 52-141,동일로4길,유료,127.064221,37.535746,자양동
10700,서울특별시 광진구 화양동 63-2 화양공영주차장,군자로,유료,127.071213,37.545288,화양동
10700,서울특별시 광진구 화양동 132-8,군자로,유료,127.070697,37.54635,화양동
10700,서울특별시 광진구 화양동 499-44,광나루로22나길,유료,127.075284,37.546175,화양동
10700,서울특별시 광진구 화양동 110-67,능동로17길,유료,127.071592,37.54626,화양동
10700,서울특별시 광진구 화양동 523-2,능동로16길,유료,127.076139,37.545201,화양동
10900,서울특별시 광진구 군자동 374-4 광진광장,광나루로,유료,127.073259,37.547695,군자동
10900,서울특별시 광진구 군자동 2-37,능동로27길,유료,127.076563,37.553993,군자동
10900,서울특별시 광진구 군자동 54-4,면목로4길,무료,127.075861,37.555515,군자동
10900,서울특별시 광진구 군자동 53-4,면목로,유료,127.075623,37.554876,군자동
10900,서울특별시 광진구 군자동 2-41,능동로27길,유료,127.076745,37.554104,군자동
